,Total,Holding,Process,Delivery,Order,Shortage
0,679.5,55.5,15,17,42,550
1,895.9999979166666,91.49999791666667,27,28,70,0
2,1139.99999375,126.99999583333334,26,28,63,0
3,1459.49999375,116.5,23,26,54,100
4,2095.49999375,63.0,16,18,39,500
5,2311.9999916666666,91.49999791666667,27,28,70,0
6,2581.99998125,143.99998958333327,28,28,70,0
7,3052.49998125,89.5,17,22,42,300
8,3268.9999791666664,91.49999791666666,27,28,70,0
