,RL_1000,META_1000,RL_2000,META_2000,RL_3000,META_3000,RL_4000,META_4000,RL_5000,META_5000
Case 01,-30732.14171218872,-30093.580556996665,-16298.100026702881,-29880.26666844686,-19599.042007700602,-22936.655502700807,-22291.682751719156,-22520.197056706747,-17835.432937113444,-23116.508369827272
Case 02,-23317.333333333332,-21378.7,-29368.633333333335,-16295.5,-29986.333333333332,-16258.833333333334,-33148.2,-16412.166666666668,-22186.5,-16288.833333333334
Case 03,-22719.033333333333,-12601.31672668457,-38093.150043996175,-12526.625034586588,-20147.764123153687,-12537.727846781412,-18786.76687151591,-12684.666696421305,-19314.344619878135,-12524.666695404052
Case 04,-23267.333333333332,-22135.066666666666,-22485.333333333332,-20809.766666666666,-21129.133333333335,-15090.5,-29188.233333333334,-13120.233333333334,-21488.366666666665,-25145.133333333335
Case 05,-23802.5,-35852.5916507721,-18626.833399709067,-19065.54164867401,-22276.917332458495,-28496.294448979697,-17765.07505200704,-15926.702835845947,-18508.32509918213,-14686.238937568665
Case 06,-24554.0,-30701.4,-24182.0,-14233.833333333334,-24388.666666666668,-14212.733333333334,-28922.833333333332,-14167.033333333333,-15537.733330535888,-14257.833333333334
Case 07,-23819.166666666668,-22976.144498443602,-28839.21155497233,-21874.286156717935,-21595.027866109212,-15748.847416877747,-25212.333814112346,-18156.280642763773,-26835.608725102742,-17639.300123850506
Case 08,-24670.666666666668,-14077.9,-36503.8,-14087.033333333333,-18451.033333333333,-14161.0,-20974.366666666665,-14093.833333333334,-14564.066666666668,-14031.566666666668
