,PRODUCT's inventory,MATERIAL 1's inventory,PRODUCT's Change,MATERIAL 1's Change,Remaining Demand,Action
1114,28,86,10,81,78,[4]
1116,0,76,4,76,100,[5]
1117,4,86,0,90,97,[2]
1118,8,86,6,76,94,[0]
1119,12,86,6,67,91,[3]
1120,16,86,2,81,88,[2]
1121,20,86,4,76,85,[4]
1122,24,86,4,86,82,[4]
1123,28,86,8,86,79,[2]
1125,0,76,4,76,100,[1]
1126,4,86,0,71,97,[3]
1127,6,81,0,86,95,[1]
1128,10,86,2,71,92,[3]
1129,14,86,0,81,89,[5]
1130,18,86,2,90,85,[4]
1131,22,86,8,86,82,[5]
1132,26,86,12,90,79,[3]
1134,0,76,4,76,100,[2]
1135,4,86,0,76,97,[0]
1136,8,86,0,67,94,[5]
1137,8,76,0,100,94,[3]
1138,12,86,6,81,91,[2]
1139,16,86,8,76,88,[2]
1140,20,86,8,76,85,[5]
1141,24,86,8,90,82,[1]
1143,0,76,4,76,100,[1]
1144,4,86,0,71,97,[2]
1145,6,81,0,81,95,[3]
1146,10,86,0,81,92,[5]
1147,14,86,2,90,89,[0]
1148,18,86,8,67,86,[3]
1149,22,86,4,81,83,[0]
1150,26,86,6,67,80,[4]
1152,0,76,4,76,100,[5]
1153,4,86,0,90,97,[3]
1154,8,86,6,81,94,[4]
1155,12,86,8,86,91,[3]
1156,16,86,12,81,88,[0]
1157,20,86,14,67,84,[3]
1158,24,86,10,81,81,[2]
1159,28,86,12,76,78,[4]
1161,0,76,4,76,100,[4]
1162,4,86,0,86,97,[1]
1163,8,86,4,71,93,[2]
1164,12,86,2,76,90,[4]
1165,16,86,2,86,87,[1]
1166,20,86,6,71,84,[0]
1167,24,86,4,67,80,[2]
1168,28,86,0,76,77,[5]
1170,0,76,4,76,100,[2]
1171,4,86,0,76,97,[3]
1172,8,86,0,81,93,[1]
1173,12,86,2,71,90,[0]
1174,16,86,0,67,87,[0]
1175,16,76,0,76,87,[2]
1176,16,76,0,86,87,[2]
1177,20,86,0,76,83,[4]
1179,0,76,4,76,100,[1]
1180,4,86,0,71,97,[4]
1181,6,81,0,90,95,[0]
1182,10,86,4,67,92,[2]
1183,14,86,0,76,89,[2]
1184,18,86,0,76,86,[0]
1185,22,86,0,67,83,[0]
1186,22,76,0,76,83,[0]
1188,0,76,4,76,100,[4]
1189,4,86,0,86,97,[4]
1190,8,86,4,86,94,[2]
1191,12,86,8,76,90,[5]
1192,16,86,8,90,87,[2]
1193,20,86,14,76,84,[3]
1194,24,86,14,81,81,[4]
1195,28,86,16,86,78,[5]
1197,0,76,4,76,100,[5]
1198,4,86,0,90,97,[1]
1199,8,86,6,71,94,[3]
1200,12,86,4,81,91,[0]
1201,16,86,6,67,88,[5]
1202,20,86,2,90,85,[2]
1203,24,86,8,76,82,[2]
1204,28,86,8,76,78,[2]
1206,0,76,4,76,100,[5]
1207,4,86,0,90,97,[1]
1208,8,86,6,71,94,[1]
1209,12,86,4,71,91,[5]
1210,16,86,2,90,88,[4]
1211,20,86,8,86,85,[5]
1212,24,86,12,90,82,[2]
1213,28,86,18,76,79,[3]
1215,0,76,4,76,100,[0]
1216,4,86,0,67,97,[4]
1217,4,76,0,95,97,[1]
1218,8,86,4,71,93,[4]
1219,12,86,2,86,90,[4]
1220,16,86,6,86,87,[4]
1221,20,86,10,86,84,[3]
1222,24,86,14,81,80,[3]
1224,0,76,4,76,100,[5]
1225,4,86,0,90,97,[5]
1226,8,86,6,90,94,[3]
1227,12,86,12,81,90,[0]
1228,16,86,14,67,87,[3]
1229,20,86,10,81,84,[3]
1230,24,86,12,81,81,[5]
1231,28,86,14,90,77,[3]
1233,0,76,4,76,100,[1]
1234,4,86,0,71,97,[4]
1235,6,81,0,90,95,[0]
1236,10,86,4,67,92,[5]
1237,14,86,0,90,89,[1]
1238,18,86,6,71,85,[3]
1239,22,86,4,81,82,[5]
1240,26,86,6,90,79,[4]
1242,0,76,4,76,100,[3]
1243,4,86,0,81,97,[5]
1244,8,86,2,90,94,[1]
1245,12,86,8,71,91,[5]
1246,16,86,6,90,88,[1]
1247,20,86,12,71,84,[1]
1248,24,86,10,71,81,[3]
1249,28,86,8,81,78,[3]
1251,0,76,4,76,100,[2]
1252,4,86,0,76,97,[2]
1253,8,86,0,76,94,[5]
1254,12,86,0,90,90,[5]
1255,16,86,6,90,87,[3]
1256,20,86,12,81,84,[0]
1257,24,86,14,67,81,[5]
1258,28,86,10,90,77,[2]
1260,0,76,4,76,100,[4]
1261,4,86,0,86,97,[1]
1262,8,86,4,71,94,[2]
1263,12,86,2,76,90,[0]
1264,16,86,2,67,87,[2]
1265,18,81,0,81,86,[4]
1266,22,86,0,86,83,[4]
1267,26,86,4,86,79,[4]
1269,0,76,4,76,100,[3]
1270,4,86,0,81,97,[2]
1271,8,86,2,76,94,[0]
1272,12,86,2,67,91,[3]
1273,14,81,0,86,89,[5]
1274,18,86,2,90,86,[0]
1275,22,86,8,67,83,[2]
1276,26,86,4,76,80,[0]
1278,0,76,4,76,100,[5]
1279,4,86,0,90,97,[0]
1280,8,86,6,67,94,[3]
1281,12,86,2,81,91,[4]
1282,16,86,4,86,88,[4]
1283,20,86,8,86,84,[1]
1284,24,86,12,71,81,[1]
1285,28,86,10,71,78,[2]
1287,0,76,4,76,100,[2]
1288,4,86,0,76,97,[0]
1289,8,86,0,67,94,[0]
1290,8,76,0,76,94,[3]
1291,8,76,0,90,94,[0]
1292,12,86,2,67,91,[3]
1293,14,81,0,86,89,[4]
1294,18,86,2,86,86,[2]
1296,0,76,4,76,100,[4]
1297,4,86,0,86,97,[3]
1298,8,86,4,81,94,[1]
1299,12,86,6,71,90,[2]
1300,16,86,4,76,87,[5]
1301,20,86,4,90,84,[5]
1302,24,86,10,90,81,[4]
1303,28,86,16,86,77,[5]
1305,0,76,4,76,100,[1]
1306,4,86,0,71,97,[2]
1307,6,81,0,81,95,[4]
1308,10,86,0,86,92,[1]
1309,14,86,4,71,88,[3]
1310,18,86,2,81,85,[4]
1311,22,86,4,86,82,[4]
